sample,latency_ns,latency_cycles,poll_iterations
563,7320.0,366.00,1
564,7320.0,366.00,1
565,7320.0,366.00,1
566,7320.0,366.00,1
567,7320.0,366.00,1
568,7320.0,366.00,1
569,7320.0,366.00,1
570,7320.0,366.00,1
571,7320.0,366.00,1
572,7320.0,366.00,1
573,7320.0,366.00,1
574,7320.0,366.00,1
575,7320.0,366.00,1
576,7320.0,366.00,1
577,7320.0,366.00,1
578,7320.0,366.00,1
579,7320.0,366.00,1
580,7320.0,366.00,1
581,7320.0,366.00,1
582,7320.0,366.00,1
583,7320.0,366.00,1
584,7320.0,366.00,1
585,7320.0,366.00,1
586,7320.0,366.00,1
587,7320.0,366.00,1
588,7320.0,366.00,1
589,7320.0,366.00,1
590,7320.0,366.00,1
591,7320.0,366.00,1
592,7320.0,366.00,1
593,7320.0,366.00,1
594,7320.0,366.00,1
595,7320.0,366.00,1
596,7320.0,366.00,1
597,7320.0,366.00,1
598,7320.0,366.00,1
599,7320.0,366.00,1
600,7320.0,366.00,1
601,7320.0,366.00,1
602,7320.0,366.00,1
603,7320.0,366.00,1
604,7320.0,366.00,1
605,7320.0,366.00,1
606,7320.0,366.00,1
607,7320.0,366.00,1
608,7320.0,366.00,1
609,7320.0,366.00,1
610,7320.0,366.00,1
611,7320.0,366.00,1
612,7320.0,366.00,1
613,7320.0,366.00,1
614,7320.0,366.00,1
615,7320.0,366.00,1
616,7320.0,366.00,1
617,7320.0,366.00,1
618,7320.0,366.00,1
619,7320.0,366.00,1
620,7320.0,366.00,1
621,7320.0,366.00,1
622,7320.0,366.00,1
623,7320.0,366.00,1
624,7320.0,366.00,1
625,7320.0,366.00,1
626,7320.0,366.00,1
627,7320.0,366.00,1
628,7320.0,366.00,1
629,7320.0,366.00,1
630,7320.0,366.00,1
631,7320.0,366.00,1
632,7320.0,366.00,1
633,7320.0,366.00,1
634,7320.0,366.00,1
635,7320.0,366.00,1
636,7320.0,366.00,1
637,7320.0,366.00,1
638,7320.0,366.00,1
639,7320.0,366.00,1
640,7320.0,366.00,1
641,7320.0,366.00,1
642,7320.0,366.00,1
643,7320.0,366.00,1
644,7320.0,366.00,1
645,7320.0,366.00,1
646,7320.0,366.00,1
647,7320.0,366.00,1
648,7320.0,366.00,1
649,7320.0,366.00,1
650,7320.0,366.00,1
651,7320.0,366.00,1
652,7320.0,366.00,1
653,7320.0,366.00,1
