sample,latency_ns,latency_cycles,total_poll_iterations
745,37420.0,1871.00,3
746,37420.0,1871.00,3
747,37420.0,1871.00,3
748,37420.0,1871.00,3
749,37420.0,1871.00,3
750,37420.0,1871.00,3
751,37420.0,1871.00,3
752,37420.0,1871.00,3
753,37420.0,1871.00,3
754,37420.0,1871.00,3
755,37420.0,1871.00,3
756,37420.0,1871.00,3
757,37420.0,1871.00,3
758,37420.0,1871.00,3
759,37420.0,1871.00,3
760,37420.0,1871.00,3
761,37420.0,1871.00,3
762,37420.0,1871.00,3
763,37420.0,1871.00,3
764,37420.0,1871.00,3
765,37420.0,1871.00,3
766,37420.0,1871.00,3
767,37420.0,1871.00,3
768,37420.0,1871.00,3
769,37420.0,1871.00,3
770,37420.0,1871.00,3
771,37420.0,1871.00,3
772,37420.0,1871.00,3
773,37420.0,1871.00,3
774,37420.0,1871.00,3
775,37420.0,1871.00,3
776,37420.0,1871.00,3
777,37420.0,1871.00,3
778,37420.0,1871.00,3
779,37420.0,1871.00,3
780,37420.0,1871.00,3
781,37420.0,1871.00,3
782,37420.0,1871.00,3
783,37420.0,1871.00,3
784,37420.0,1871.00,3
785,54750.0,2737.50,3
786,37440.0,1872.00,3
787,37420.0,1871.00,3
788,37420.0,1871.00,3
789,37420.0,1871.00,3
790,37420.0,1871.00,3
791,37420.0,1871.00,3
792,37420.0,1871.00,3
793,37420.0,1871.00,3
794,37420.0,1871.00,3
795,37420.0,1871.00,3
796,37420.0,1871.00,3
797,37420.0,1871.00,3
798,37420.0,1871.00,3
799,37420.0,1871.00,3
800,37420.0,1871.00,3
801,37420.0,1871.00,3
802,37420.0,1871.00,3
803,37420.0,1871.00,3
804,37420.0,1871.00,3
805,37420.0,1871.00,3
806,37420.0,1871.00,3
807,37420.0,1871.00,3
808,37420.0,1871.00,3
809,37420.0,1871.00,3
810,37420.0,1871.00,3
811,37420.0,1871.00,3
812,37420.0,1871.00,3
813,37420.0,1871.00,3
814,37420.0,1871.00,3
815,37420.0,1871.00,3
816,37420.0,1871.00,3
817,37420.0,1871.00,3
818,37420.0,1871.00,3
819,37420.0,1871.00,3
820,37420.0,1871.00,3
821,37420.0,1871.00,3
822,37420.0,1871.00,3
823,37420.0,1871.00,3
824,37420.0,1871.00,3
825,37420.0,1871.00,3
826,37420.0,1871.00,3
827,37420.0,1871.00,3
828,37420.0,1871.00,3
829,37420.0,1871.00,3
830,37420.0,1871.00,3
831,37420.0,1871.00,3
832,37420.0,1871.00,3
833,37420.0,1871.00,3
834,37420.0,1871.00,3
835,37420.0,1871.00,3
836,37420.0,1871.00,3
837,37420.0,1871.00,3
838,37420.0,1871.00,3
839,37420.0,1871.00,3
840,37420.0,1871.00,3
841,37420.0,1871.00,3
842,37420.0,1871.00,3
843,37420.0,1871.00,3
844,37420.0,1871.00,3
845,37420.0,1871.00,3
846,37420.0,1871.00,3
847,37420.0,1871.00,3
848,37420.0,1871.00,3
849,37420.0,1871.00,3
850,37420.0,1871.00,3
851,37420.0,1871.00,3
852,37420.0,1871.00,3
853,37420.0,1871.00,3
854,55470.0,2773.50,3
855,37450.0,1872.50,3
856,37420.0,1871.00,3
